Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 1,,,,,,,,,,,,,,,,,,,,,,,
A user in shipping inadvertently makes changes to a document on the server intended to be modified by the accounting department. Which of the following BEST describes the security property that has been violated?,Confidentiality,Accessibility,Integrity,Availability,C,,,,,,,,,,,,,,,,,,
An admin is provisioning a user account for a new employee joining the sales department.  A unique username and initial password were chosen and the new user will be required to change the initial password at first login to the system.,Authentication,Accounting,Identification,Authorization,D,,,,,,,,,,,,,,,,,,
Barb has been tasked with securing an information system to prevent unauthorized users and systems from gaining access. Which of the following properties will support the desired action?,Confidentiality,Integrity,Availability,Non-repudiation,A,,,,,,,,,,,,,,,,,,
"Jean, the CISO for your organization, is inquiring about a security control specifically designed to protect the data stored on the organization's fileservers. The control will be required to limit access to authorized users only.",Managerial,Technical,Physical,Operational,B,,,,,,,,,,,,,,,,,,
"The accounting department is complaining of unauthorized file changes from a user outside the department. You have been asked, by the CIO, to review the server's authentication logs associated with a specific user account.",Non-repudiation,Availability,Integrity,Confidentiality,A,,,,,,,,,,,,,,,,,,
The users in an organization are frequently missing required details related to the organization's compliance requirements.  The CIO has instructed your team to implement solutions to remediate the lack of compliance.,Preventative,Directive,Deterrent,Corrective,B,,,,,,,,,,,,,,,,,,
Which of the following BEST describes the need for implementing a compensating control?,A large number of network intrusion attempts going unnoticed due to a defective IDS.,Unauthorized access to the server room due to IT technicians leaving the door ajar.,The firewall recommended by your CTO is extremely expensive and complicated to configure.,A recent data loss due to a server failure and lack of a data backup and recovery plan.,C,,,,,,,,,,,,,,,,,,
You are the ISSO for an organization and have been tasked with creating a report based on analysis comparing the company's current security posture to the recommendations contained in a cybersecurity framework.,Non-repudiation,Shadow IT,Preventative control,Gap analysis,D,,,,,,,,,,,,,,,,,,
You have been dispatched to resolve an issue in which all computers in the sales department lost connectivity to both the LAN and WAN.,Technical,Physical,Operational,Managerial,B,,,,,,,,,,,,,,,,,,
Your company recently underwent a repeated series of attacks in which unauthorized individuals attempted physical access to your buildings. Building services has installed signs indicating the ramifications of unauthorized entry.,Deterrent,Detective,Preventative,Corrective,A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 2,,,,,,,,,,,,,,,,,,,,,,,
"A change advisory board has submitted its recommendations for a change. The project manager overseeing the technical implantation, is concerned about one portion of the deployment that could affect the entire change.",Standard operating procedure,Test results,Maintenance window,Backout plan,B,,,,,,,,,,,,,,,,,,
A large organization has been notified that their wireless infrastructure is end-of-life and will no longer receive security patches. The IT manager has implemented the steps necessary to test and schedule the change,Service restart,Legacy application,Dependencies,Restricted activities,C,,,,,,,,,,,,,,,,,,
